fipscode,varname,race_ethn,age,c_mn,se_tot,c_upr,c_lwr,county
4013,first_entry,AI/AN,18,0.1511788886104189,0.003212051279019244,0.1574745091172966,0.14488326810354119,AZ: Maricopa
4013,first_inv,AI/AN,18,0.5405089475230571,0.004039520751731933,0.5484264081964517,0.5325914868496625,AZ: Maricopa
4013,first_victim,AI/AN,18,0.1276710259612328,0.003014873943147005,0.13358017888980095,0.12176187303266468,AZ: Maricopa
4013,tpr,AI/AN,18,0.03559409432241856,0.001724432775727784,0.03897398256284501,0.0322142060819921,AZ: Maricopa
6001,first_entry,AI/AN,18,0.058454198140758376,0.007652713916215112,0.07345351741653999,0.04345487886497676,CA: Alameda
6001,first_inv,AI/AN,18,0.16809477703396947,0.010146612742338187,0.1879821380089523,0.14820741605898663,CA: Alameda
6001,first_victim,AI/AN,18,0.03932449025121333,0.005209599720387128,0.049535305703172106,0.02911367479925456,CA: Alameda
6001,tpr,AI/AN,18,0.020451825780731764,0.004183676830280448,0.028651832368081442,0.012251819193382087,CA: Alameda
6037,first_entry,AI/AN,18,0.08364818497044121,0.004550342382456316,0.0925668560400556,0.07472951390082683,CA: Los Angeles
6037,first_inv,AI/AN,18,0.15669454151007206,0.004230709330929368,0.1649867317986936,0.1484023512214505,CA: Los Angeles
6037,first_victim,AI/AN,18,0.03640177109057367,0.002042311602205738,0.04040470183089692,0.032398840350250424,CA: Los Angeles
6037,tpr,AI/AN,18,0.008641007545626689,0.0014095504992369654,0.01140372652413114,0.005878288567122237,CA: Los Angeles
6059,first_entry,AI/AN,18,0.03767705413698136,0.004162594227927044,0.045835738823718365,0.02951836945024435,CA: Orange
6059,first_inv,AI/AN,18,0.08914506147846069,0.005829621340399138,0.100571119305643,0.07771900365127837,CA: Orange
6059,first_victim,AI/AN,18,0.03186221995585847,0.003626724166443081,0.038970599322086914,0.024753840589630035,CA: Orange
6059,tpr,AI/AN,18,0.006680645978630981,0.0020077508777785577,0.010615837699076954,0.0027454542581850077,CA: Orange
6065,first_entry,AI/AN,18,0.05838928867889806,0.0037460975220550597,0.06573163982212597,0.05104693753567014,CA: Riverside
6065,first_inv,AI/AN,18,0.35444294007240973,0.006714934303425972,0.3676042113071246,0.34128166883769484,CA: Riverside
6065,first_victim,AI/AN,18,0.11135598175056441,0.004714969221334581,0.12059732142438019,0.10211464207674863,CA: Riverside
6065,tpr,AI/AN,18,0.012471747765501348,0.0018823752264074628,0.016161203209259976,0.008782292321742722,CA: Riverside
6071,first_entry,AI/AN,18,0.04792266524084486,0.003573898480642964,0.054927506262905074,0.04091782421878465,CA: San Bernadino
6071,first_inv,AI/AN,18,0.16474261070601795,0.0058609548418134556,0.17623008219597233,0.15325513921606357,CA: San Bernadino
6071,first_victim,AI/AN,18,0.04388644815399062,0.0032802920781442543,0.05031582062715336,0.03745707568082788,CA: San Bernadino
6071,tpr,AI/AN,18,0.0067661598233873105,0.0014106030976431937,0.00953094189476797,0.004001377752006651,CA: San Bernadino
6073,first_entry,AI/AN,18,0.06170856056204249,0.00409338829300704,0.06973160161633629,0.05368551950774869,CA: San Diego
6073,first_inv,AI/AN,18,0.3803229806671347,0.0074870126465321155,0.39499752545433764,0.3656484358799318,CA: San Diego
6073,first_victim,AI/AN,18,0.1131109076299245,0.0052975207103996644,0.12349404822230783,0.10272776703754116,CA: San Diego
6073,tpr,AI/AN,18,0.011935724950947538,0.0019439294061177747,0.015745826586938377,0.0081256233149567,CA: San Diego
6085,first_entry,AI/AN,18,0.053866997650370396,0.006597679483675515,0.0667984494383744,0.04093554586236639,CA: Santa Clara
6085,first_inv,AI/AN,18,0.19680011848593515,0.009346188075548647,0.2151186471140105,0.1784815898578598,CA: Santa Clara
6085,first_victim,AI/AN,18,0.05080119823696602,0.005462953441483099,0.06150858698227289,0.04009380949165915,CA: Santa Clara
6085,tpr,AI/AN,18,0.012773118490779028,0.0030062336830617062,0.018665336509579973,0.006880900471978085,CA: Santa Clara
12011,first_entry,AI/AN,18,0.07713252669559457,0.011552529118282261,0.09977548376742781,0.05448956962376134,FL: Broward
